timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1653928882399,175,createUser/index.php-4,508,Loop Detected,Thread Group - CSV 1-10,text,false,,493,720,13,13,http://automationpractice.com/index.php,175,0,87
1653928882442,181,createUser/index.php-4,508,Loop Detected,Thread Group - CSV 1-11,text,false,,493,720,14,14,http://automationpractice.com/index.php,181,0,92
1653928882575,84,createUser/index.php?controller=authentication-27,508,Loop Detected,Thread Group - CSV 1-10,text,false,,492,1124,15,15,http://automationpractice.com/index.php?controller=authentication,84,0,0
1653928882491,183,createUser/index.php-4,508,Loop Detected,Thread Group - CSV 1-12,text,false,,493,720,15,15,http://automationpractice.com/index.php,183,0,95
1653928882547,157,createUser/index.php-4,508,Loop Detected,Thread Group - CSV 1-13,text,false,,493,720,16,16,http://automationpractice.com/index.php,157,0,77
1653928882624,92,createUser/index.php?controller=authentication-27,508,Loop Detected,Thread Group - CSV 1-11,text,false,,492,1124,16,16,http://automationpractice.com/index.php?controller=authentication,92,0,0
1653928882660,81,createUser/index.php-29,508,Loop Detected,Thread Group - CSV 1-10,text,false,,492,598,16,16,http://automationpractice.com/index.php?controller=my-account,81,0,0
1653928882398,340,Transaction Controller csv,,"Number of samples in transaction : 3, number of failing samples : 3",Thread Group - CSV 1-10,,false,,1477,2442,16,16,null,340,4,87
1653928882674,100,createUser/index.php?controller=authentication-27,508,Loop Detected,Thread Group - CSV 1-12,text,false,,492,1124,16,16,http://automationpractice.com/index.php?controller=authentication,100,0,0
1653928882595,180,createUser/index.php-4,508,Loop Detected,Thread Group - CSV 1-14,text,false,,493,720,16,16,http://automationpractice.com/index.php,180,0,83
1653928882704,85,createUser/index.php?controller=authentication-27,508,Loop Detected,Thread Group - CSV 1-13,text,false,,492,1124,16,16,http://automationpractice.com/index.php?controller=authentication,85,0,0
1653928882717,96,createUser/index.php-29,508,Loop Detected,Thread Group - CSV 1-11,text,false,,492,598,17,17,http://automationpractice.com/index.php?controller=my-account,96,0,0
1653928882441,369,Transaction Controller csv,,"Number of samples in transaction : 3, number of failing samples : 3",Thread Group - CSV 1-11,,false,,1477,2442,17,17,null,369,4,92
1653928882643,177,createUser/index.php-4,508,Loop Detected,Thread Group - CSV 1-15,text,false,,493,720,16,16,http://automationpractice.com/index.php,177,0,82
1653928882692,162,createUser/index.php-4,508,Loop Detected,Thread Group - CSV 1-16,text,false,,493,720,17,17,http://automationpractice.com/index.php,162,0,81
1653928882776,86,createUser/index.php?controller=authentication-27,508,Loop Detected,Thread Group - CSV 1-14,text,false,,492,1124,17,17,http://automationpractice.com/index.php?controller=authentication,86,0,0
1653928882775,87,createUser/index.php-29,508,Loop Detected,Thread Group - CSV 1-12,text,false,,492,598,17,17,http://automationpractice.com/index.php?controller=my-account,87,0,0
1653928882491,370,Transaction Controller csv,,"Number of samples in transaction : 3, number of failing samples : 3",Thread Group - CSV 1-12,,false,,1477,2442,17,17,null,370,1,95
1653928882790,81,createUser/index.php-29,508,Loop Detected,Thread Group - CSV 1-13,text,false,,492,598,16,16,http://automationpractice.com/index.php?controller=my-account,81,0,0
1653928882546,323,Transaction Controller csv,,"Number of samples in transaction : 3, number of failing samples : 3",Thread Group - CSV 1-13,,false,,1477,2442,16,16,null,323,2,77
1653928882820,85,createUser/index.php?controller=authentication-27,508,Loop Detected,Thread Group - CSV 1-15,text,false,,492,1124,16,16,http://automationpractice.com/index.php?controller=authentication,85,0,0
1653928882745,169,createUser/index.php-4,508,Loop Detected,Thread Group - CSV 1-17,text,false,,493,720,16,16,http://automationpractice.com/index.php,169,0,81
